name,ingredients,flags
Овсянка с орехами,"Овсяные хлопья:60;Орехи:20;Ягоды:80",GF,DAIRY_FREE
Гречка с тофу,"Гречка:70;Тофу:120;Овощи:150",VEG,GF,DAIRY_FREE,LOW_COST
Рис с курицей,"Рис:70;Курица филе:150;Овощи:150",LOW_COST
Салат с лососем,"Салат:100;Лосось:120;Оливковое масло:15;Орехи:30",GF,DAIRY_FREE
Творожная запеканка,"Творог:200;Яйца:100;Овсяные хлопья:50;Ягоды:100",GF
Суп из чечевицы,"Чечевица:80;Морковь:50;Лук:30;Оливковое масло:10",VEG,GF,DAIRY_FREE,LOW_COST
Куриные котлеты с рисом,"Курица филе:150;Рис:80;Яйца:50;Овощи:100",LOW_COST
Смузи с бананом,"Бананы:150;Молоко:200;Овсяные хлопья:30;Орехи:20",GF
Омлет с овощами,"Яйца:150;Молоко:50;Овощи:100;Оливковое масло:10",GF,DAIRY_FREE
Паста с тунцом,"Макароны:100;Тунец:100;Оливковое масло:15;Овощи:80",GF
Киноа с овощами,"Киноа:60;Овощи:150;Оливковое масло:10;Орехи:20",VEG,GF,DAIRY_FREE
Творог с ягодами,"Творог:150;Ягоды:100;Орехи:30",GF
Суп из брокколи,"Брокколи:150;Молоко:100;Оливковое масло:10;Орехи:20",GF
Рыбные котлеты,"Рыба:150;Картофель:100;Яйца:50;Овощи:80",GF
Салат Цезарь,"Салат:100;Курица филе:100;Сыр:30;Оливковое масло:15",GF
